state.name,pop_total,pop_adult
Alabama,4903185,3814879
Alaska,731545,551562
Arizona,7278717,5638481
Arkansas,3017804,2317649
California,39512223,30617582
Colorado,5758736,4499217
Connecticut,3565287,2837847
Delaware,973764,770192
District of Columbia,705749,577581
Florida,21477737,17247808
Georgia,10617423,8113542
Hawaii,1415872,1116004
Idaho,1787065,1338864
Illinois,12671821,9853946
Indiana,6732219,5164245
Iowa,3155070,2428229
Kansas,2913314,2213064
Kentucky,4467673,3464802
Louisiana,4648794,3561164
Maine,1344212,1095370
Maryland,6045680,4710993
Massachusetts,6892503,5539703
Michigan,9986857,7842924
Minnesota,5639632,4336475
Mississippi,2976149,2277566
Missouri,6137428,4766843
Montana,1068778,840190
Nebraska,1934408,1458334
Nevada,3080156,2387517
New Hampshire,1359711,1104458
New Jersey,8882190,6943612
New Mexico,2096829,1620991
New York,19453561,15425262
North Carolina,10488084,8187369
North Dakota,762062,581891
Ohio,11689100,9111081
Oklahoma,3956971,3004733
Oregon,4217737,3351175
Pennsylvania,12801989,10167376
Rhode Island,1059361,854866
South Carolina,5148714,4037531
South Dakota,884659,667558
Tennessee,6829174,5319123
Texas,28995881,21596071
Utah,3205958,2274774
Vermont,623989,509984
Virginia,8535519,6674671
Washington,7614893,5951832
West Virginia,1792147,1432580
Wisconsin,5822434,4555837
Wyoming,578759,445025