"","AK","AL","AR","AZ","CA","CO","CT","DC","DE","FL","GA","HI","IA","ID","IL","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NE","NH","NJ","NM","NV","NY","OH","OK","OR","PA","RI","SC","SD","TN","TX","UT","VA","VT","WA","WI","WV","WY"
"MS",0.00209187417536572,0.0051579926325036,0.00460987251346797,0.00129224994845159,0.00151163517787016,0.00136820952450284,0.00121065968874421,0.00129214041472085,0.00284871427698519,0.00192470093147916,0.0052484384225344,0.00133054566303398,0.00312283360058571,0.00289507663657829,0.00125795478930285,0.00379604850712531,0.00332917559064368,0.00402706330082127,0.00521686231363805,0.00123335747739901,0.00146534670784097,0.0023960077567594,0.00329282685964873,0.00245145847748514,0.00388119562027528,0.00633317659698019,0.00295400050992985,0.00481666705725583,0.0031376251053311,0.00273599754573569,0.00188533692976967,0.00139534416346661,0.00136045793299092,0.00130488041947768,0.00144669954535975,0.00340900052834519,0.00390922231805972,0.00205726280410259,0.0026447701233286,0.00128048564339656,0.00507915638097414,0.00324497595014985,0.00452177623135176,0.00133661296060014,0.00141618179811368,0.00293606536184572,0.00170978239464968,0.00138806334954344,0.0027032567629994,0.00385951602965051,0.00332838931426115
"MT",0.00437000764029765,0.00403977357668204,0.00461995146092612,0.00285761691609868,0.00129158519504635,0.00405103471401065,0.00322310776690144,0.00136522636558429,0.00367705876449491,0.00313959896867853,0.00230858276159259,0.0013224708526975,0.00544380650310595,0.00518677983577718,0.00287000882002407,0.00508343814041575,0.00510644020270544,0.00506795435463357,0.00305945247720259,0.0028967618402042,0.00132400721781412,0.00512300217328651,0.00489617013160964,0.00519266684593872,0.00516874110099267,0.00295400050992985,0.00620898632480111,0.00438085682415992,0.00520222214439226,0.00518373739837468,0.00497773012954785,0.00155371252937993,0.00141781405872793,0.00181646395617987,0.00142651394924007,0.00499847079380801,0.00442815336707771,0.00508376393358527,0.00481554684064054,0.00366677722396008,0.00394245111210216,0.00536877987734438,0.00461920635630088,0.00143343269342097,0.00339485999872085,0.00420241258486871,0.00470732547458492,0.00428513169942563,0.00519467671018021,0.00527151301272039,0.00528837461466071
"NC",0.00299311241145345,0.00539680598211579,0.00529926259642177,0.00157444808873368,0.00135552373295112,0.00239828365716378,0.00181867234412703,0.0013559408280401,0.00383358818259307,0.00298689451033236,0.00445986535018834,0.00139671948860566,0.00447947313146536,0.00413885044797379,0.00209182828434294,0.00496165081172813,0.00457973187117827,0.00514787700138326,0.00487108337554879,0.00151155825535448,0.00144146692435431,0.0038769982207325,0.00461007661147419,0.00401772689228441,0.0051008853006262,0.00481666705725583,0.00438085682415992,0.00628410964073955,0.00433160315996655,0.00407344102600604,0.00348595639743647,0.00129894117691837,0.0013130225579385,0.00142369323833661,0.00128315553434296,0.00472235490518921,0.00455305140317921,0.00370341598557539,0.00413427238351623,0.00221067053732216,0.00545054050062715,0.00449744502735747,0.00540910037745966,0.00132131602716155,0.00205449227586416,0.00425095163423686,0.00314317457676592,0.0025483464779233,0.00417234902992105,0.00505663468266984,0.00452520142856664
"ND",0.00476829303152762,0.0041365927099434,0.00481855749983178,0.00276607699829131,0.00130717524756509,0.00406951346510477,0.00250931386458385,0.00140307131092441,0.00312848160166829,0.00234348211283459,0.00258244655402183,0.00138291228003929,0.00528058469452568,0.00539285613354642,0.00267385340327515,0.00523654437293178,0.00534732754331756,0.00520156033587098,0.00339236836208352,0.00247168373957582,0.00130419892860768,0.00444898231565425,0.00463590647378867,0.00505808670835241,0.00519355716527598,0.0031376251053311,0.00520222214439226,0.00433160315996655,0.00612886001208443,0.00535267901224551,0.00436929609415056,0.00138782505771733,0.00136349386375993,0.00170967287145277,0.00136402381251869,0.00487382722236267,0.00472099641709752,0.0047626354870657,0.00444055664885068,0.00325249078052139,0.00391436172380624,0.00543892949711721,0.00481170604327982,0.0014029818934023,0.00420708566781326,0.00385249504350298,0.00398987737852434,0.00407974368916897,0.00491559040815696,0.00510391859225269,0.00542685246642588
"NE",0.00448237763213419,0.00376683067726641,0.00440909235631929,0.00332542407983956,0.00131512293670691,0.00445796494942634,0.00315570989526002,0.00133113634753115,0.00356321723041519,0.00299748847672497,0.00238183198446769,0.0013313245806227,0.0053696669772779,0.00550483973592648,0.00343538749517452,0.00525972035757643,0.0051868031823601,0.00501135656337119,0.00316061955147916,0.00311076706943392,0.0013617594585363,0.00470026620708773,0.00497849777409234,0.00532048653899783,0.00519163471140616,0.00273599754573569,0.00518373739837468,0.00407344102600604,0.00535267901224551,0.00618903563945734,0.00470335989585828,0.00178198879020028,0.00141823542144372,0.00235031843685572,0.00169395067214967,0.00517370201865881,0.00438974310789793,0.00515739659986354,0.00490566478975189,0.00394992653256891,0.00365679457027512,0.00525959735854267,0.00451311558362473,0.00145860226032754,0.00450106335468254,0.00414296738421428,0.00421190954077047,0.00461588050942749,0.00521648145776801,0.0049756473979245,0.00521194970346541
"NH",0.00330162782073296,0.00294630461908609,0.00337535773334284,0.00304659528727709,0.00143590202720085,0.00417112828320963,0.00461507386059857,0.00131732668196193,0.00437801330096892,0.00375573884780928,0.00155153669695566,0.00136012629405144,0.00487874674790794,0.00440304489990075,0.0039645074470947,0.00421593301106109,0.0040905751943365,0.00404781515092968,0.0022362364216928,0.00428329082950148,0.00174913238260093,0.00545849739994085,0.0048985896539192,0.00517226436732298,0.00439813470652086,0.00188533692976967,0.00497773012954785,0.00348595639743647,0.00436929609415056,0.00470335989585828,0.00619545574537466,0.00287576996024223,0.00138741556356684,0.0023041434763801,0.00239438645755821,0.0048075659959854,0.00304339355642145,0.0050660959532999,0.00516658167797685,0.00473630847370217,0.00310157444497189,0.00447135704862581,0.00350692988177279,0.00129696909280738,0.00332881487495229,0.00459848379040028,0.00539691623516176,0.00477271992344059,0.0052429445931782,0.00435553296720611,0.00432674761978176
"NJ",0.00121140603961412,0.00124237733006578,0.00124977981220157,0.00366032836040463,0.0035592560325287,0.00291766690461948,0.00465536481206902,0.00256753462755313,0.00318800604057112,0.00382576823375281,0.00146628825341291,0.00291568428128492,0.0015850356701502,0.00150552916334085,0.00451095237411683,0.00146471173795631,0.00138635148580017,0.00136611805507475,0.00130985859571264,0.00475707514397671,0.00365838413363045,0.00245748067070651,0.00242740201062306,0.00227587690177204,0.00146482451178743,0.00139534416346661,0.00155371252937993,0.00129894117691837,0.00138782505771733,0.00178198879020028,0.00287576996024223,0.00654982272044117,0.00279095015847934,0.00396126959203436,0.00551620294221852,0.00215838514782839,0.001211942002238,0.00267825193686291,0.00300847673362219,0.00437031595992161,0.00126713452446584,0.00141616455942101,0.00127637527928294,0.00164827699470443,0.00210795288841597,0.002637328540827,0.00268205887089078,0.00353868090653103,0.00238422373957307,0.00143932200138901,0.00138053580963883
"NM",0.00234271867922133,0.00130959730802139,0.00133785788983608,0.00399244501403437,0.00444206743782629,0.00157230865294589,0.00195056067186208,0.00134671669018829,0.00138345568174778,0.00261404181474789,0.00145503692655353,0.00491821590111997,0.00142832384523641,0.00144558093283544,0.00163153072348239,0.00140992590771262,0.00137332298736767,0.00137877499558287,0.00130228296093964,0.00164693296488873,0.00134537966346876,0.0014524369627484,0.00140777535273585,0.00137429031417697,0.00137475396477314,0.00136045793299092,0.00141781405872793,0.0013130225579385,0.00136349386375993,0.00141823542144372,0.00138741556356684,0.00279095015847934,0.00631793486484945,0.00396376263781885,0.00247249472747112,0.00139818880729005,0.00140779512304307,0.00169650624713526,0.00140818297274673,0.00205053429809991,0.00131377092107936,0.00140007447827801,0.00132499446473454,0.00390160042922741,0.00137014105459943,0.00126621884982331,0.00142090478944293,0.00210041619155449,0.00142058761622376,0.00141114437548165,0.00138671716304685
"NV",0.00240666046767507,0.00129164993074385,0.00141562630753406,0.00530423189347975,0.00417339950756326,0.00262291399952137,0.00325087590786707,0.00136354995268604,0.00266179367556976,0.00407020807970912,0.00131360339404391,0.00339702633597515,0.0021142960434869,0.00236472631631579,0.00403841976839683,0.00214350060334545,0.00164760343527616,0.00177943276658461,0.0014001465441213,0.00310442868840162,0.00157667501174862,0.00224090309077929,0.00272273415217559,0.00224199094655188,0.00188586107934585,0.00130488041947768,0.00181646395617987,0.00142369323833661,0.00170967287145277,0.00235031843685572,0.0023041434763801,0.00396126959203436,0.00396376263781885,0.00641382200301067,0.00419178053118194,0.00261485938613819,0.00183969146871582,0.00292890383376337,0.00298793603553429,0.00391022968562577,0.00137317775846484,0.0017931816075079,0.00144822055523613,0.00384227104206376,0.0028785649429657,0.00151973305334838,0.00192875598046085,0.00361240215658419,0.00264236635275635,0.00190121235268939,0.0017349950089717
"NY",0.001241593524381,0.00123332387126172,0.00124400300154333,0.00366615529915438,0.0038008637267533,0.00273579688006442,0.00413870249236276,0.00292389619493328,0.00304655517722577,0.00352460525166763,0.00149629740179989,0.00267041771135118,0.00149688937867059,0.00151428991150672,0.00467131446248682,0.00146627571914867,0.00137553140187007,0.00135122726864889,0.00132146433710742,0.00439786069631473,0.0038860671630408,0.00196925288640598,0.00231954053927061,0.00207479153836904,0.00143542653433794,0.00144669954535975,0.00142651394924007,0.00128315553434296,0.00136402381251869,0.00169395067214967,0.00239438645755821,0.00551620294221852,0.00247249472747112,0.00419178053118194,0.00646391006279083,0.00208694435974944,0.00131277094747302,0.00243257155711296,0.00281400071688574,0.00415742034618769,0.00125099457380894,0.00136153112671537,0.00128096935186241,0.00204621073288689,0.00241026091680154,0.00244740566357337,0.00213687644525489,0.00333527907631553,0.00216401437127531,0.00137436110738631,0.0013350223030007
"OH",0.00352114067753365,0.00426157316385419,0.00454302421692962,0.00310791370482353,0.00138082013785402,0.00384069132690055,0.00352351827115638,0.00127903830210735,0.00459058146298995,0.00384285098271787,0.00324469006089301,0.00131746501917173,0.00526429016713384,0.00502018792296178,0.00389177517065561,0.00526868148192053,0.00477369368448048,0.00503768723195501,0.00391889191299656,0.00325102831895293,0.00158368560178495,0.00491703353174878,0.0054880268271643,0.005201621994358,0.00531740331881864,0.00340900052834519,0.00499847079380801,0.00472235490518921,0.00487382722236267,0.00517370201865881,0.0048075659959854,0.00215838514782839,0.00139818880729005,0.00261485938613819,0.00208694435974944,0.0061667629493623,0.0040716309467709,0.00502195816034605,0.00534318594170521,0.0041670132459742,0.0044276583214319,0.00489431922532074,0.00474063474167624,0.00139394555655569,0.00373965562549807,0.0047260504982859,0.00434706928066346,0.00440828865538676,0.00535951460538368,0.00506741222377345,0.00481309551133189
"OK",0.00463820177241424,0.00472170337941128,0.00521213920823704,0.00267816675748173,0.00145383940287279,0.00328995754780129,0.0013530984441652,0.00143355742591184,0.00219093448130322,0.00244559785197935,0.00317076272846283,0.00137180869719764,0.00435721541713727,0.00474460773593535,0.00156548361090076,0.00486899623383088,0.00507983027306391,0.00509303079274968,0.0037377738284002,0.00129501872883599,0.00130334498487012,0.00327485498350161,0.00377974194368343,0.00389687384613673,0.00475347810459544,0.00390922231805972,0.00442815336707771,0.00455305140317921,0.00472099641709752,0.00438974310789793,0.00304339355642145,0.001211942002238,0.00140779512304307,0.00183969146871582,0.00131277094747302,0.0040716309467709,0.00637656363890346,0.00399817596307036,0.0035237274076343,0.00186808474808411,0.0042406164791391,0.00486354610594882,0.00509401177316353,0.00219951738742393,0.00307693942714449,0.0029201305046242,0.0024391517469506,0.00285760570217676,0.00378726000691421,0.00495016141333448,0.00498418575041867
"OR",0.00421528116984585,0.0031543858699002,0.00390163467464901,0.00384050051659619,0.00148144118255711,0.0048199225590531,0.00395145792007666,0.00130585095501394,0.00375019975401119,0.00386150914766772,0.0016388263909638,0.00133921272599956,0.00514949092624738,0.00503747260627943,0.00407050653832069,0.00484062782355923,0.00482165420370011,0.00460468504056076,0.00228881050114441,0.00380045700818044,0.00143526588288407,0.00494791617982709,0.00496023439664923,0.00535773078112831,0.00479213067224923,0.00205726280410259,0.00508376393358527,0.00370341598557539,0.0047626354870657,0.00515739659986354,0.0050660959532999,0.00267825193686291,0.00169650624713526,0.00292890383376337,0.00243257155711296,0.00502195816034605,0.00399817596307036,0.00628649402410324,0.00517873272099841,0.00461426417885581,0.00312608593447706,0.00488585231737661,0.00402568795613843,0.0014144492875419,0.00392433803872616,0.00416700828835632,0.00456454255963424,0.00519353751562116,0.00528278504532223,0.00471393470911811,0.00472988863583852
"PA",0.00318798378515801,0.00360072216347088,0.00390233734786364,0.00340474874391807,0.00147406375794727,0.00405763319373887,0.00437118316784501,0.0013316078927113,0.0049100630546072,0.00440654159218247,0.00259247531082395,0.00132812466526458,0.00497755016030209,0.00466940165352559,0.00450931399036813,0.0047755476456767,0.00433099635976919,0.00451768599858312,0.00319686399747939,0.00401387750039268,0.00205607931502872,0.00510658254091081,0.00541225429895148,0.00516794334637249,0.00484893497548269,0.0026447701233286,0.00481554684064054,0.00413427238351623,0.00444055664885068,0.00490566478975189,0.00516658167797685,0.00300847673362219,0.00140818297274673,0.00298793603553429,0.00281400071688574,0.00534318594170521,0.0035237274076343,0.00517873272099841,0.00616619779966529,0.00481772098996817,0.00382425939794419,0.0045232275584124,0.00412247837322917,0.00134926883974908,0.00360040097279905,0.00482167362416862,0.00472034512420495,0.00475872974897475,0.00535733870794317,0.00467721082495929,0.00441637212857948
"RI",0.00263134481148725,0.00162096319837577,0.00205549392570404,0.00421685255015407,0.00220803753898258,0.00425469602568472,0.00531432999541804,0.00143733944564495,0.00439075352995475,0.00424476368675088,0.00129429054609312,0.00161053637748263,0.0038527089937854,0.003587211146751,0.00538426904120317,0.00329776353826144,0.00296090603039787,0.0028735303212656,0.00148003720864979,0.0051078127694997,0.00255395312303459,0.00442225062377285,0.00436692836707763,0.0043842802985747,0.00329827322030205,0.00128048564339656,0.00366677722396008,0.00221067053732216,0.00325249078052139,0.00394992653256891,0.00473630847370217,0.00437031595992161,0.00205053429809991,0.00391022968562577,0.00415742034618769,0.0041670132459742,0.00186808474808411,0.00461426417885581,0.00481772098996817,0.00637109741106638,0.00187904489633078,0.0032579705203688,0.00224596484086726,0.00139543140603601,0.00371554561093856,0.00394135054331154,0.00448351312906251,0.00527614090453216,0.00454072011587844,0.00309147522180608,0.00307119843672849
"SC",0.00247036100014829,0.00550286798733487,0.00513094803646901,0.00141066578517253,0.00139425629567513,0.00173541250087443,0.00157614866658588,0.00135345448588164,0.00381980520650271,0.00292354131034877,0.00481299039780925,0.0014199951836547,0.00403979368512374,0.00372236346755714,0.00179675248556839,0.00459588966882586,0.00408568633950503,0.00479399732289208,0.00521446214300698,0.001393626876618,0.00147082077070027,0.00354416587295732,0.00434209490541705,0.00350902109806034,0.00475999944474599,0.00507915638097414,0.00394245111210216,0.00545054050062715,0.00391436172380624,0.00365679457027512,0.00310157444497189,0.00126713452446584,0.00131377092107936,0.00137317775846484,0.00125099457380894,0.0044276583214319,0.0042406164791391,0.00312608593447706,0.00382425939794419,0.00187904489633078,0.00627850209257575,0.00405868779288142,0.00518492860641413,0.00135845239975575,0.00170157734129514,0.00399829737421479,0.00278294062608738,0.00197781561894453,0.00377609334765362,0.00473663242174825,0.00414600650511211
"SD",0.00480379927813146,0.0042709877610538,0.00496263619796932,0.00283985653831171,0.00131233944406466,0.00396759787215377,0.00257117465537196,0.00140888797440295,0.00324829877296797,0.00268780068532554,0.00257558144111913,0.00135829671581666,0.00535703171264824,0.00536229242185164,0.00260707684209512,0.00527446930688278,0.00536181620459122,0.00530170135834876,0.00337091260210184,0.00237607247541837,0.00128293746187342,0.00463682336030721,0.00470673563795353,0.00501751634291444,0.00523104227995237,0.00324497595014985,0.00536877987734438,0.00449744502735747,0.00543892949711721,0.00525959735854267,0.00447135704862581,0.00141616455942101,0.00140007447827801,0.0017931816075079,0.00136153112671537,0.00489431922532074,0.00486354610594882,0.00488585231737661,0.0045232275584124,0.0032579705203688,0.00405868779288142,0.006127716820869,0.00490694802259167,0.00142252431474342,0.00377227620682906,0.00378117180657519,0.00412407539775322,0.00406181589134739,0.00498127681793712,0.0053065893939386,0.00548139285633456
"TN",0.00373434483873748,0.00527709911837538,0.0054821948311687,0.00198983787257253,0.00134989890665999,0.00296241830510114,0.00165900116542731,0.00139246372932983,0.00331737487063486,0.00281089856359907,0.00407775068526936,0.00140325994867939,0.00467038647576448,0.00465201821679895,0.00202867563251052,0.00520733784229461,0.00507796754883211,0.00540224106125432,0.00460389831743814,0.00148581451888777,0.00137826995999998,0.00380189503682412,0.00452049031756078,0.00425515091685387,0.00526179913511534,0.00452177623135176,0.00461920635630088,0.00540910037745966,0.00481170604327982,0.00451311558362473,0.00350692988177279,0.00127637527928294,0.00132499446473454,0.00144822055523613,0.00128096935186241,0.00474063474167624,0.00509401177316353,0.00402568795613843,0.00412247837322917,0.00224596484086726,0.00518492860641413,0.00490694802259167,0.00617579584971703,0.00133471417225318,0.00271152512223878,0.00401146265886551,0.00299746963123459,0.00287421276850609,0.00425046019075052,0.00524744557188845,0.00499651000173292
"TX",0.00256562839865691,0.00135812661236106,0.00133679679644715,0.00374828396211562,0.00400085246968835,0.00159887231005273,0.00134231653888058,0.00135837391896263,0.00130022364763106,0.00181371834853822,0.00142588992518429,0.00350052873851924,0.00144827531759129,0.00164237321317035,0.00142436166810259,0.00143869177664518,0.00140200910009135,0.00139062144747973,0.00136973740056337,0.00136423538507201,0.00131203232147316,0.00134105430064127,0.00138088891919961,0.00135330008772547,0.00139845385949417,0.00133661296060014,0.00143343269342097,0.00132131602716155,0.0014029818934023,0.00145860226032754,0.00129696909280738,0.00164827699470443,0.00390160042922741,0.00384227104206376,0.00204621073288689,0.00139394555655569,0.00219951738742393,0.0014144492875419,0.00134926883974908,0.00139543140603601,0.00135845239975575,0.00142252431474342,0.00133471417225318,0.0063695244827142,0.0020411906643286,0.00121870865091876,0.00128073677868235,0.00156698033659371,0.00138552825682975,0.00141983935264465,0.00141783972827099
"UT",0.00402292074248302,0.00185552649181433,0.00259896141650736,0.00358003248978222,0.0015171972890457,0.00434809518416794,0.00276525661621581,0.00134340909268193,0.00226820648992488,0.00164490780708423,0.00133720746135092,0.00133846329765752,0.00381289897847311,0.00438775016752542,0.0035414165114256,0.0037207808746201,0.00382233510892139,0.00329061825909833,0.00184701465894722,0.00327152267567534,0.00145617801864457,0.0029704887425675,0.00350364223544934,0.00417034751053702,0.00349971268747929,0.00141618179811368,0.00339485999872085,0.00205449227586416,0.00420708566781326,0.00450106335468254,0.00332881487495229,0.00210795288841597,0.00137014105459943,0.0028785649429657,0.00241026091680154,0.00373965562549807,0.00307693942714449,0.00392433803872616,0.00360040097279905,0.00371554561093856,0.00170157734129514,0.00377227620682906,0.00271152512223878,0.0020411906643286,0.00619778570700684,0.00277070461517829,0.00285196442300235,0.00427690358849289,0.00386669094714645,0.00299955249501491,0.00372951940907609
"VA",0.00198220533493635,0.00366187515356838,0.00357540494719494,0.00187031032249119,0.00135447621999982,0.00357198437518899,0.0040328923100786,0.00146418388344745,0.00484052609107627,0.00342683444304684,0.00327073103988046,0.00140750523928193,0.00427391977122176,0.00374436164819013,0.0039012223548889,0.00416644732721003,0.00391649120453179,0.00402456598094875,0.00344966516101248,0.00385648801808102,0.00284238165461092,0.00439828341071624,0.00479187359389634,0.0046866192363804,0.00452241939193667,0.00293606536184572,0.00420241258486871,0.00425095163423686,0.00385249504350298,0.00414296738421428,0.00459848379040028,0.002637328540827,0.00126621884982331,0.00151973305334838,0.00244740566357337,0.0047260504982859,0.0029201305046242,0.00416700828835632,0.00482167362416862,0.00394135054331154,0.00399829737421479,0.00378117180657519,0.00401146265886551,0.00121870865091876,0.00277070461517829,0.00640823309691013,0.00430275783155634,0.00367031249533578,0.00447545419306997,0.00403012745555255,0.00370793222082878
"VT",0.0030518418093952,0.0025863030141597,0.00298479270687644,0.00261649032001036,0.001384633098519,0.00363498205405422,0.0045557355820107,0.00135309548305875,0.00433368946717932,0.00326163963648977,0.00136622304358104,0.00136606548871027,0.0046113087152817,0.00389447733879944,0.00363345741527371,0.0037229724236908,0.00356042102418593,0.00357371372768429,0.00197905080458405,0.00419079584480716,0.00184246212152401,0.00536116123849587,0.00452487031538525,0.00478752213851044,0.00392582363722636,0.00170978239464968,0.00470732547458492,0.00314317457676592,0.00398987737852434,0.00421190954077047,0.00539691623516176,0.00268205887089078,0.00142090478944293,0.00192875598046085,0.00213687644525489,0.00434706928066346,0.0024391517469506,0.00456454255963424,0.00472034512420495,0.00448351312906251,0.00278294062608738,0.00412407539775322,0.00299746963123459,0.00128073677868235,0.00285196442300235,0.00430275783155634,0.00616078105532001,0.00440270625308432,0.00494382568280468,0.00392963847092444,0.00389421122732285
"WA",0.00379381294628155,0.00195122156823356,0.00273210693131959,0.00445984135189267,0.00210917448391164,0.00508199028616765,0.00455111671538075,0.00131433147189808,0.00345454483348798,0.00356325589629849,0.00122284117822392,0.00149142295178717,0.00445086483332333,0.00436456148562149,0.00469496715151274,0.0039566448763482,0.00392854471754321,0.00357990400222625,0.00147146190124993,0.00461764907137381,0.00154980961048364,0.00447949221783271,0.00439531507465841,0.004923876934676,0.00388133851497937,0.00138806334954344,0.00428513169942563,0.0025483464779233,0.00407974368916897,0.00461588050942749,0.00477271992344059,0.00353868090653103,0.00210041619155449,0.00361240215658419,0.00333527907631553,0.00440828865538676,0.00285760570217676,0.00519353751562116,0.00475872974897475,0.00527614090453216,0.00197781561894453,0.00406181589134739,0.00287421276850609,0.00156698033659371,0.00427690358849289,0.00367031249533578,0.00440270625308432,0.00634549898552628,0.00482947885755393,0.00366610097999255,0.00386347687205419
"WI",0.00385624467274032,0.00366171722769363,0.00416355956520253,0.00332843029718949,0.00140406935222316,0.0041585586979281,0.00397646671944195,0.00128751380179301,0.00444583386642078,0.00371229254051747,0.00235530804905124,0.00131442951325246,0.00536976054804345,0.00503755558442641,0.00400602045877648,0.00501659141568844,0.00467647342207442,0.00477142537869856,0.00312639884731946,0.00370981293959599,0.00149197380687836,0.00529138490573722,0.00535333018341321,0.00537949328207638,0.00504254085081714,0.0027032567629994,0.00519467671018021,0.00417234902992105,0.00491559040815696,0.00521648145776801,0.0052429445931782,0.00238422373957307,0.00142058761622376,0.00264236635275635,0.00216401437127531,0.00535951460538368,0.00378726000691421,0.00528278504532223,0.00535733870794317,0.00454072011587844,0.00377609334765362,0.00498127681793712,0.00425046019075052,0.00138552825682975,0.00386669094714645,0.00447545419306997,0.00494382568280468,0.00482947885755393,0.00615129774636079,0.00490672929283173,0.00482100735396617
"WV",0.00420339021779366,0.00481600531677289,0.00522036970227482,0.00267800435436839,0.00131313695008955,0.00344243002658078,0.00251177634502628,0.00137374812695068,0.00370890641878666,0.00337434051061007,0.00327553914697462,0.00134309770656713,0.00522134204891287,0.0051003904564913,0.00254268654975999,0.00534406461222821,0.00518495128362379,0.00543862785958699,0.00397108017177627,0.0020787366067659,0.00133830867532853,0.00465992510858499,0.0049270028123476,0.00476836455040269,0.00537592203997253,0.00385951602965051,0.00527151301272039,0.00505663468266984,0.00510391859225269,0.0049756473979245,0.00435553296720611,0.00143932200138901,0.00141114437548165,0.00190121235268939,0.00137436110738631,0.00506741222377345,0.00495016141333448,0.00471393470911811,0.00467721082495929,0.00309147522180608,0.00473663242174825,0.0053065893939386,0.00524744557188845,0.00141983935264465,0.00299955249501491,0.00403012745555255,0.00392963847092444,0.00366610097999255,0.00490672929283173,0.00614122232985777,0.00532533152401936
"WY",0.00477062534284722,0.0043943070070912,0.00502434117634822,0.00277370842997795,0.00131242393959738,0.00385936796636888,0.00239466121871512,0.00141553962760303,0.00309945724276241,0.00271030538183322,0.00267162585167121,0.00138068144802262,0.0052147977009345,0.00534249551479874,0.00240488045805814,0.00524204599527344,0.00537078397613341,0.00532092484998019,0.00347126586349852,0.00217499017339158,0.00128445583578375,0.00448644554431713,0.00459136917961791,0.00487128915297012,0.00521543597165589,0.00332838931426115,0.00528837461466071,0.00452520142856664,0.00542685246642588,0.00521194970346541,0.00432674761978176,0.00138053580963883,0.00138671716304685,0.0017349950089717,0.0013350223030007,0.00481309551133189,0.00498418575041867,0.00472988863583852,0.00441637212857948,0.00307119843672849,0.00414600650511211,0.00548139285633456,0.00499651000173292,0.00141783972827099,0.00372951940907609,0.00370793222082878,0.00389421122732285,0.00386347687205419,0.00482100735396617,0.00532533152401936,0.00614114691716674
